Lead SC,Request Date,Opp Closed Date,Quarter,Days to Close,Module,Category,ARR,Opps Won,Lead SC ,ACV,Win Rate,Average Days to Close,Arr Influence
Yes,8/7/25,8/31/25,Q3 '25,24,OneWorld,Accounting,"14,347.74",642,92%,"$27,284 ",49%,38,"17,516,348"
Yes,8/29/25,8/30/25,Q3 '25,1,Renewal,Retention,"83,903.71",,,,,,
Team,8/4/25,8/29/25,Q3 '25,25,Payments,Accounting,"3,952.08",,,,,,
Yes,8/18/25,8/28/25,Q3 '25,10,Integration ,Infrastructure ,"42,218.88",,,,,,
Yes,7/1/25,8/27/25,Q3 '25,57,OneWorld,Accounting,"7,306.79",,,,,,
Yes,8/12/25,8/27/25,Q3 '25,15,New Instance,Platform,"37,377.79",,,,,,
Yes,8/12/25,8/27/25,Q3 '25,15,Integration ,Infrastructure ,"52,000.03",,,,,,
Yes,8/12/25,8/27/25,Q3 '25,15,Payroll,Accounting,"24,046.00",,,,,,
Yes,6/27/25,8/19/25,Q3 '25,53,Renewal,Retention,"68,360.07",,,,,,
Yes,8/13/25,8/15/25,Q3 '25,2,CRM,Platform,"4,752.00",,,,,,
Yes,8/6/25,8/8/25,Q3 '25,2,CRM,Platform,"7,188.00",,,,,,
Yes,7/23/25,7/23/25,Q3 '25,0,CRM,Platform,"6,342.73",,,,,,
Yes,6/18/25,6/30/25,Q2 '25,12,CRM,Platform,"15,840.00",,,,,,
Yes,2/4/25,6/26/25,Q2 '25,142,Database,Infrastructure ,"53,989.20",,,,,,
Team,12/19/24,5/30/25,Q2 '25,162,New Instance,Platform,"135,233.76",,,,,,
Yes,4/18/25,5/30/25,Q2 '25,42,Renewal ,Retention,"256,380.86",,,,,,
Yes,3/24/25,5/30/25,Q2 '25,67,Analytics Warehouse,Analytics,"17,256.00",,,,,,
Yes,4/3/25,5/30/25,Q2 '25,57,Renewal ,Retention,"35,300.65",,,,,,
Yes,4/25/25,5/30/25,Q2 '25,35,Analytics Warehouse,Analytics,"7,201.20",,,,,,
Yes,5/22/25,5/30/25,Q2 '25,8,Consulting Services,Support,"21,500.03",,,,,,
Yes,2/7/25,5/29/25,Q2 '25,111,Renewal ,Retention,"38,095.71",,,,,,
Yes,5/27/25,5/28/25,Q2 '25,1,Renewal ,Retention,"2,313.39",,,,,,
Yes,1/15/25,5/28/25,Q2 '25,133,Analytics Warehouse,Analytics,"18,126.13",,,,,,
Yes,5/21/25,5/27/25,Q2 '25,6,Analytics Warehouse,Analytics,"6,724.80",,,,,,
Yes,4/25/25,5/23/25,Q2 '25,28,Analytics Warehouse,Analytics,"19,088.28",,,,,,
Yes,5/19/25,5/20/25,Q2 '25,1,CRM,Platform,"23,760.00",,,,,,
Yes,4/29/25,5/16/25,Q2 '25,17,Database,Infrastructure,"59,988.00",,,,,,
Yes,5/6/25,5/16/25,Q2 '25,10,Renewal ,Retention,"11,900.31",,,,,,
Yes,5/15/25,5/16/25,Q2 '25,1,Consulting Services,Support,"52,000.03",,,,,,
Yes,5/12/25,5/13/25,Q2 '25,1,OneWorld,Accounting,"23,748.12",,,,,,
Team,4/30/25,4/30/25,Q2 '25,0,Analytics Warehouse,Analytics,"48,989.00",,,,,,
Yes,4/15/25,4/29/25,Q2 '25,14,CRM,Platform,"6,367.68",,,,,,
Yes,3/17/25,4/28/25,Q2 '25,42,Analytics Warehouse,Analytics,"21,818.50",,,,,,
Yes,3/10/25,4/25/25,Q2 '25,46,Database,Infrastructure ,"70,395.46",,,,,,
Yes,4/24/25,4/25/25,Q2 '25,1,Renewal ,Retention,"153,260.16",,,,,,
Yes,4/25/25,4/25/25,Q2 '25,0,Consulting Services,Support,"47,255.03",,,,,,
Yes,4/10/25,4/25/25,Q2 '25,15,Renewal ,Subscription Upgrade,"27,445.97",,,,,,
Yes,4/8/25,4/23/25,Q2 '25,15,Integration ,Infrastructure ,"7,681.70",,,,,,
Yes,4/22/25,4/22/25,Q2 '25,0,CRM,Platform,"15,154.28",,,,,,
